#_layers,hidden_size,learning_rate,alpha,beta,lambds,#_epochs,HumanEmbryo_corr,HumanEmbryo_squared,HSC_10x_corr,HSC_10x_squared,HSMM_corr,HSMM_squared,AT2_corr,AT2_squared,EPI_corr,EPI_squared,Camargo_corr,Camargo_squared,ChuCellType_corr,ChuCellType_squared,GrunIntestine_corr,GrunIntestine_squared,Kyle_Anterior_corr,Kyle_Anterior_squared,Kyle_Middle_corr,Kyle_Middle_squared,Marrow_10x_G_corr,Marrow_10x_G_squared,Marrow_10x_E_corr,Marrow_10x_E_squared,Marrow_10x_B_corr,Marrow_10x_B_squared,Marrow_plate_M_corr,Marrow_plate_M_squared,Marrow_plate_B_corr,Marrow_plate_B_squared,Marrow_plate_G_corr,Marrow_plate_G_squared,StandardProtocol_corr,StandardProtocol_squared,DirectProtocol_corr,DirectProtocol_squared,RegevIntestine_corr,RegevIntestine_squared,RegevDropseq_corr,RegevDropseq_squared,Fibroblast_MyoF_corr,Fibroblast_MyoF_squared,Fibroblast_MFB_corr,Fibroblast_MFB_squared
1,50,0.1,5,0.0001,0.1,50,0.5794783923774958,92910.39120966593,0.3050258884827296,50217.488794644676,0.7149203509092331,8822.76825606823,0.7974452217419942,8935.4093943278,0.4124617551763852,132252.6334787051,0.0325131798046641,35182.03292387724,0.6004714950919151,5713.512879530589,0.4621695801615715,2564.0056349198026,0.7648933663964271,20727.034958608947,0.7958341702818871,22528.837200419108,0.8237080216407776,2087.85111771822,0.6083135545253754,3473.2068577448526,0.46928855776786804,4487.224307187398,0.2748650518556436,4304.655618733168,0.5657974590857824,4526.003101476033,0.7446640312671662,2895.6302172342935,0.4490565299987793,730.2987192769846,0.7689883559942245,1369.292271300157,0.4021247545878092,1909.7251461267472,0.30866116657853127,2263.0298062642414,0.29699871443832915,4090.6144644260407,0.46692283544689417,6259.267527288199
1,150,0.001,2,0.0001,0.0001,2,0.5608060903847217,69.85148235832652,0.30804847391943135,10.14533966978391,0.6434422750025988,6.320849952722589,0.7515019049247106,5.091673860326409,0.3775455397864183,10.332525303804626,0.040626762070072195,4.255889825274547,0.43733268678188325,31.3430745691061,0.4638682966430982,1.1198843934262792,0.7015828063090642,21.829697869718075,0.7251264934738477,25.134585524971286,0.8120084404945374,4.974909641096989,0.5875989946226279,9.225383638466399,0.5006421168645223,5.82747642112275,0.2296105831861496,4.8635500778754555,0.5035313710570335,6.038248786330223,0.7380168855190277,5.739303345729907,0.32282064681251843,1.607655053709944,0.7634707033634186,2.7364077682296437,0.30117351226508615,2.3581133617709082,0.2103494338458404,11.018913929412763,0.15546302522222202,4.89980838795503,0.42152112647891044,5.364007232648631
3,150,0.1,2,0.001,0.01,10,0.20422906005248176,5355105481.257671,0.011945420231648995,573488254.4492099,0.18059464844797427,12435717.798869452,0.2771247761159581,371529970.50663316,0.13182732094129884,737082177.5852729,-0.003696840985988577,79168956.81410879,0.176567856941377,646403025.7154614,nan,9411181.552236052,0.3308722155671148,5437028448.943721,0.3857894308104733,5423555970.222104,0.5659221024044835,286070690.9003966,0.07986137998964248,42500782.10967226,nan,48589734.23422752,0.14569907837623836,19287555.049218655,0.28235458725461815,282455342.7634162,0.29395326964633267,85988048.49144162,0.06668646001332945,33977601.39458556,0.2875826460467124,19358124.701754533,0.006272479519117565,236616351.54023314,0.15265828996352865,272578774.57657653,0.10514945834875107,68520094.77070469,0.2572426952332563,90261597.85703751
2,50,0.01,1,0.001,0.001,10,0.48129484529296557,240.2789908250173,0.25128041841089727,129.98531315230454,0.7318521082401276,97.41692849931617,0.7386320455620686,69.5440506239732,0.40465949724117917,92.7676899285987,0.03219584433827549,37.470674419403075,0.5727200007687012,236.8080069343249,0.40846721331278485,29.720434601356587,0.7018738647301992,325.2502016708255,0.7434402068456014,346.5207230448723,0.7855380922555923,47.50335719088714,0.578362870713075,46.806137983004255,0.4646319558223089,92.60478230118751,0.23306505419313908,57.18861188292503,0.5187788506348928,56.3604559391737,0.7432684322198232,35.71196363617977,0.3480124758090824,37.64419664392869,0.6965475785235564,37.62333836282293,0.38568248686691126,26.47716469404598,0.1869923895865213,100.76809171748658,0.2479826854231457,73.52553026552002,0.42619557678699493,70.93967339514444
1,150,0.01,5,0.01,0.0001,50,0.47899734557916723,4734.7682099064195,0.3139410050585866,1882.6709254950285,0.4289601037899653,219.52575128351648,0.6403940406938394,976.8665305244426,0.3143833440029994,311.6035309580465,0.009302655168964218,927.0977224156261,0.5806308587392172,1799.9156699468692,0.37901718684782587,173.86662580718595,0.6948973432183265,644.741458957394,0.8292351166407267,762.8307405784726,0.7282456810275714,93.56646183455983,0.5867710505922635,273.20373222231865,0.4206686849395434,236.51393013770382,0.2291248487929503,180.3084492911895,0.4587459971973052,436.5070765455564,0.7517557034889857,152.83886389732362,0.1956782861923178,46.789895085742074,0.5551720606784026,58.31702318539222,0.40972635385890804,121.48759096140662,0.20184137523174286,986.4209443365534,0.23218755526468157,330.5995455612739,0.42195927786330384,231.398152239124
3,150,0.01,2,0.1,0.001,10,0.4762894625465075,947.3270757968227,0.20392582075049479,715.3588829589387,0.5587922934442758,163.8056075721203,0.5570214256644249,162.7568182103336,0.3828945763409138,89.9102381573369,0.05264096520841122,119.95916582817833,0.6109739730755488,1108.10902184397,0.36039827490846316,75.17631307579578,0.6681314751505851,835.6561797347385,0.6821999420722326,926.4337723695032,0.773709241549174,10.718460495164617,0.45266030058264733,50.224200497505564,0.39204733570416767,145.0799831426392,0.1681374023358027,137.25883712675423,0.4465869913498561,27.608868940050403,0.6891903539498647,20.095369955555846,0.3612955435489615,12.520302976916234,0.7139160911242167,19.06162504007419,0.36930420647064843,84.42776569575071,0.22173293468852837,154.14154592504104,0.2685275504986445,434.8105144644777,0.4295876272954047,347.68819157253796
2,100,0.0013844127467043253,3.0361708454703433,0.08817400627847015,0.07599195575086493,200,0.6575023785401258,19.5148040625415,0.103671745292502,11.636169988067335,0.744587362900425,4.618186992414384,0.4241285921997716,4.844040748131405,0.13432534565438817,4.314881946834069,0.06175290878918833,9.199830906856777,0.7529254466604414,11.534947940808495,0.2611096704083456,3.8391220832961337,0.6591564915002166,14.31267361019781,0.5638426597565996,9.505112404475632,0.497434248053154,3.357291668601716,0.27594982811537744,5.112130870401089,0.12682966822739117,2.1920221817708114,0.4396430750019273,2.2717322069072527,0.04603030810098406,4.260518682799243,0.25801169137851665,4.2976500365537005,-0.01039304942735573,11.165161146712292,0.22042906303166995,8.3287490710488,0.6636179306819151,6.513702865909804,0.13578377212715806,14.778084808797212,0.20816931764183738,3.768812505535382,0.26422626619013456,3.3028194020813784
1,10,0.0026180615546676387,2.195327993179112,0.037284019011905103,0.032651294583671754,200,0.7169205313292015,19.30648176273423,0.1974718961227527,11.539983715193907,0.5922817936749691,6.156792623129311,0.39805735388161256,7.257069071114182,0.21738922173921132,4.146286923191041,0.06946157029396115,9.991319071807778,0.5740620938981694,12.575747888693085,0.3197117982681688,4.730449206497303,0.3752293357161284,11.38042115324091,0.27714002923513525,7.809776347491493,0.548988196716842,6.349894467430349,0.41212518287693284,6.6458389461181016,0.03359651440402187,3.0573277457269055,0.26468291678415123,3.4472057423465268,-0.11674666593219245,5.395596506403982,0.3645039559334705,5.123797761902117,0.10687967649318456,12.00518235012077,0.3743762638031052,8.165890825768674,0.5949797416902173,7.772869055708396,0.1399075377047523,18.260397650594673,0.18107801207661026,4.785320840179862,0.1861184969497165,5.524616241413306
3,50,0.00225678206581438,1.7848327802824016,0.08834154528137925,0.0492051136949711,200,0.7057352354765947,22.428586760355373,0.13604333500478819,8.602384098346436,0.6995560838518013,3.8305692496992587,0.5976240789741414,4.116256343937677,0.09635305410445903,3.869084726178904,0.06518634400165566,7.26715276701287,0.7708742129818146,12.471831452157284,0.3375069729386701,3.6721802021646157,0.6619713841185841,13.965573728197148,0.3327596747794424,9.494321853171071,0.4788069315048614,5.245022986692155,0.4642461510790856,4.794023519768609,0.04339877538493023,1.9841249691085567,0.43054024069925295,1.995815266805466,0.14140551752195973,3.9426620430475485,0.4240368323992898,3.853551175155636,0.06372895494169065,11.735057261246178,0.32502454655767454,8.243632612737095,0.5707041078367454,6.424334539989306,0.11918773966219129,13.726335240208078,0.19858959683544042,4.23713789246899,0.2515177942859455,4.083298912187821
3,100,0.007775398614816423,1.4392676647483522,0.030330365433415912,0.07360454703715788,200,0.7768390859120783,16.898323100151313,0.3779217497820721,8.921949086429416,0.7128221374980124,3.9622833018249235,0.832279878931595,5.15221032141925,0.19934991333599578,3.9622756893428677,0.07560895052073745,8.38077153821135,0.849934730159591,11.06108796352532,0.4247605665985519,4.137534351828442,0.7392943036807148,13.167781973214822,0.6814204109947375,8.307161813131211,0.7245735570410593,5.02019234753499,0.5233651693602829,4.410055396157535,0.21768321583641473,2.0351565405932686,0.5949645995984115,2.1287651680711503,-0.0034699832488718813,3.306974352899713,0.3034850035538344,3.8846452831094274,0.11109644805934679,12.153582363009855,0.6250823735841887,8.275852194851353,0.797618150773636,6.873636932502925,0.1813571468477277,15.626477415810916,0.2758438914856358,4.754748340175141,0.2739042918775723,4.237203523442099
